Ὠδαί 1:1	AΣΩΜΕΝ τῷ κυρίῳ, ἐνδόξως γὰρ δεδόξασται XV, ἵππον καὶ ἀναβάτην ἔρριψεν εἰς θάλασσαν. 1—19
Ὠδαί ivb:20	βάδιζε, λαός μου, εἴσελθε εἰς τά ταμεῖά σου. ἀπόκλεισον τὴν θύραν σου, ἀποκρύβηθι μικρὸν ὅσον ὅσον, ἕως ἂν παρέλθῃ ἡ ὀργὴ Κυρίου. 18 om ου πεσουμεθα A * (hab Aᵃ) Ε΄ §Προσευχὴ Ἰωνᾶ. § R A Jon.
Ὠδαί 5:3	Ἐβόησα ἐν θλίψει μου πρὸς Κύριον τὸν θεόν μου, ii. καὶ εἰσήκουσέν μου ἐκ κοιλίας ᾅδου κραυγῆς μου· 3—10 ἤκουσας φωνῆς μου.
Ὠδαί 5:4	ἀπέρριψάς με εἰς βάθη καρδίας θαλάσσης. καὶ ποταμοί με ἐκύκλωσαν, πάντες οἱ μετεαορισμοί σου καὶ τὰ κύματά σου ἐπ᾿ ἐμὲ διῆλθον.
Ὠδαί 5:5	κἀγὼ εἶπα Ἀπῶσμαι ἐξ ὀφθαλμῶν σου· ἆρα προσθήσω τοῦ ἐπιβλέψαι πρὸς ναὸν τὸν ἅγιόν σου
Ὠδαί 5:6	περιεχύθη μοι ὕδωρ ἕως ψυχῆς μου. ἄβυσσος ἐκύκλωσέν με ἐσ χάτη, ἔδυ ἡ κεφαλή μου εἰς σχισμὰς ὀρέων·
Ὠδαί 5:7	κατέβην εἰς γῆν, ἧς οἱ μοχλοὶ αὐτῆς κάτοχοι αἰώνιοι· καὶ ἀναβήτω ἐκ φθορᾶς ἡ ζωή μου, Κύριε ὁ θεός μου.
Ὠδαί 5:8	ἐν τῷ ἐκλείπειν τὴν ψυχήν μου ἀπʼ ἐμοῦ τοῦ κυρίου ἐμνήσθην. καὶ ἔλθοι πρὸς σὲ ἡ προσευχή μου εἰς ναὸν ἅγιόν σου.
Ὠδαί 5:9	φυλασσόμενοι μάταια καὶ ψευδῆ ἔλεος αὐτῶν ἐνκατέλιπον·
Ὠδαί 5:10	ἐγὼ δὲ μετὰ φωνῆς αἰνέσεως καὶ ἐξομολογήσεως θύσω σοι. ὅσα ηὐξάμην ἀποδώσω σοι εἰς σωτηρίαν μου υῷ κυρίῳ. F΄
Ὠδαί 6:1	Προσευχὴ Ἀμβακούμ. Habac.
Ὠδαί 6:2	Κύριε, εἰσακήκοα τὴν ἀκοήν σου καὶ ἐφοβήθην· 2—19 κατενόησα τὰ ἔργα σου καὶ ἐξέστην. ν μέσῳ δύο ζῴων γνωσθήσῃ, ἐν τῷ ἐγγίζειν τὰ ἔτη ἐπιγνωσθήσῃ· ἐν τῷ παρεῖναι τὸν καιρὸν ἀναδειχθήσῃ, ἐν τῷ ταραχθῆναι τὴν ψυχήν μου ἐν ὀργῇ ἐλέους μνησθήσῃ.
Ὠδαί 6:3	ὁ θεὸς ἐκ Θεμὰν ἥξει, καὶ ὁ ἅγιος ἐξ ὄρους Φαρὰν κατασκίου δασέως. V 3 ηφωνης] την φωνην R 4 απεριψας R 5 τον αγιον] om τον R R 6 εκυκλωσεν] εκαλυφεν R | εδυ] εδυσεν R 8 om απ εμου R 10 σωτηριον R | τω κυριω] + αμην R VI προσευχη Αμβακουμ] αρχεται ωδη Αμβ. R 2 σου 2°] + ο θεος R | επιγνωσθηση] γνωσθησῃ R 3 δασεως] + διαψαλμα R A ἐκάλυψεν οὐρανοὺς ἡ ἀρετὴ αὐτοῦ, καὶ αἰνέσεως αὐτοῦ πλήρης ἡ γῆ.
Ὠδαί 6:4	καὶ φέγγος αὐτοῦ ὡς φῶς ἔσται, τέρατα ἐν χερσὶν αὐτοῦ· καὶ ἔθετο ἀγάπησιν κραταιὰν ἰσχύος αὐτοῦ.
Ὠδαί 6:5	πρὸ προσώπου αὐτοῦ πορεύσεται λόγος, καὶ ἐξελεύσεται· ἐυ πεδίλοις οἱ πόδες αὐτοῦ.
Ὠδαί 6:6	ἔστη, καὶ ἐσαλεύθη ἡ γῆ· ἐπέβλεψεν, καὶ ἐτάκη ἔθνη καὶ διεθρύβη τὰ ὄρη βίᾳ. ἐτάκησαν βουνοὶ αἰώνιοι πορίας αἰωνίους αὐτοῦ.
Ὠδαί 6:7	ἀντὶ κόπων εἶδου σκηνώματα Αἰθιόπων, πτοηθήσονται καὶ αἱ σκηναὶ γῆς Μαδιάμ. διάψαλμα.
Ὠδαί 6:8	μὴ ἐν ποταμοῖς ὦργίσθης, Κύριε; μὴ ἐν ποταμοῖς ὁ θυμός σου; ἢ ἐν θαλάσσῃ τὸ ὄρμημά σου ὅτι ἐπιβήσῃ ἐπὶ τοὺς ἵππους σου. καὶ ἡ ἱππασία σου σωτηρία.
Ὠδαί 6:9	ἐντείνων ἐντενεῖς τὸ τόξον σου ἐπὶ τά σκῆπτρα, λέγει Κύριος· ποταμῶν ῥαγήσεται γῆ·
Ὠδαί 6:10	ὄψονταί σε καὶ ὤδινήσουσιν λαοί. σκορπίζων ὕδατα πορίας αὐτοῦ· ἔδωκεν ἡ ἄβυσσος φωνὴν αὐτῆς· ὕψος φαντασίας αὐτῆς ἐπήρθη.
Ὠδαί 6:11	ὁ ἥλιος καὶ ἡ σελήνη ἔστη ἐν τῇ τάξει αὐτῆς· εἰς φῶς βολίδες σου πορεύσονται, εἰς φέγγος ἀστραπῆς ὅπλων σου.
Ὠδαί 6:12	ἐν ἀπειλῇ σου ὀλιγώσεις γῆν, καὶ ἐν θυμῷ κατάξεις ἔθνη.
Ὠδαί 6:13	ἐξῆλθες εἰς σωτηρίαν λαοῦ σου, τοῦ σῶσαι τοὺς χριστούς σοι. ἔψαλας εἰς κεφαλὰς ἀνόμων θάνατον· R 3 αινεσεως] pr της Rᵛⁱᵈ 4 τερατα] κερ. R αυτου 2⁰] + υπαρχει αυτω R 5 εν πεδιλοις] εις πεδια R οι ποδες αυτου c Seqq Coniunx R 6 εστησαν R ετακη]| ετακησαν R om και 3⁰ R διετριβη R fort αινιοι R* (ω superscr B¹) 7 αι σκηναι] σκηνωματα R Μαδιαμ| Μαζιαν Rᵛⁱᵈ om διαψαλμα R 8 Οm μη εν ποταμοις ο θυμος σου R η ιππ.] om η R vid 9 εντονων R vid τα σκηπτρα] + σου A * (ras σου A?) om τα R Κυριος] + διαψαλμα R ποταμω A* (ν superscr A¹) ποταμου Rᵛⁱᵈ γη] pr η R 10 οδυνησουσιν Rᵛⁱᵈ om αυτου R επηρθη c seqq coniunx A 11 βολιδες] pr αι R εις 2⁰] και R αστραπης] + σου ως R οπλον Rfort 12 θυμω] τω θ. σου R 13 εβαλες ἐξήγειρας δεσμούς σου ἕως τραχήλου. A
Ὠδαί 6:14	διέκοψας ἐν ἐκστάσει κεφαλάς δυναστῶν, σεισθήσονται ἐν αὐτῇ· διανοίξουσιν χαλινοὺς αὐτῶν, ὡς ἔσθων πτωχὸς λάθρα.
Ὠδαί 6:15	καὶ ἐπεβίβασας εἰς θάλασσαν τοὺς ἵπ πους σου ταράσσοντας ὕδατα πολλά.
Ὠδαί 6:16	ἐφυλαξάμην, καὶ ἐπτοήθη ἡ κοιλία μου ἀπὸ φωνῆς προσευχῆς χειλέων μου, καὶ εἰσῆλθεν τρόμος εἰς τὰ ὀστᾶ μου, καὶ ὑποκάτωθέν μου ἐταράχθη ἡ ἕξις μου. ἀναπαύσομαι ἐν ἡμέρᾳ θλίψεως μου, τοῦ ἀναβῆναί με εἰς λαὸν παροικίας μου.
Ὠδαί 6:17	διότι συκῆ οὐ καρποφορήσει, καὶ οὐκ ἔσται γενήματα ἐν ταῖς ἀμπέλοις· ψεύσεται ἔργον ἐλαίας, καὶ τὰ πεδία οὐ ποιήσει βρῶσιν· ἐξέλειπον ἀπὸ βρώσεως πρόβατα, καὶ οὐχ ὑπάρχουσιν βόες ἐπὶ φάτναις ἐξιλάσεως αὐτῶν·
Ὠδαί 6:18	ἐγὼ δὲ ἐπὶ τῷ κυρίῳ ἀγαλλιάσομαι. χαρήσομαι ἐπὶ τῷ θεῷ τῷ σωτῆρί μου.
Ὠδαί 6:19	Κύριος ὁ θεός μου δύναμίς μου. καὶ τάξει τοὺς πόδας μου εἰς συντέλειαν· ἐπὶ τὰ ὑψηλὰ ἐπιβιβᾷ με. τοῦ νικῆσαι ἐν τῇ ᾠδῆ αὐτοῦ ¶ ¶R Z΄ Ποοσευχὴ Ἐζεκίου. §T
Ὠδαί 7:10	Ἐγὼ εἶπα Ἐν τῷ ὕψει τῶν ἡμερῶν μον πορεύσομαι ἐν πύλαις ᾄδου· καταλείψω τὰ ἔτη τὰ ἐπίλοιπα.
Ὠδαί 7:11	εἶπα Οὐκέτι οὐ μὴ ἴδω τὸ σωτήριον τοῦ θεοῦ ἐπὶ τῆς γῆς· οὐ μὴ ἴδω ἄνθρωπον μετὰ κατοικούντων. 13 om σου 3⁰ R τραχηλου] + διαψαλμα R 14 εσθιων R 15 om και RΤ R τους ιππ.] om τους R 16 εξις]λ κεχυς R om μου 5⁰ R 17 τοις αμπ. A βρωσιν] καρπον R εξελιπον R 18 επι 1⁰] εν 19 Κυριος] κε Avid R και ταξει] καταστησει R | επεβιβα ωδη] οδω R αυτου] + αμην R VII (η T) Εζεκιου] + του βασιλεως Τ 10 ειπα] ειπον Τ πορευσωμαι Τ 11 ειπα] ειπον Τ της γ.] γης ζωντων Τ ου μη 2⁰] pr ουκετι T ανθρ.]+ ετι Τ A
Ὠδαί 7:12	ἐξέλειπον ἐκ τῆς συγγενείας μου, κατέλειπον τὸ λοιπὸν τῆς ζωῆς μου· ἐξῆλθεν καὶ ἀπῆλθεν ἀπʼ ἐμοῦ ὥσπερ ὁ καταλύων σκηνὴν πήξας· τὸ πνεῦμά μου παρʼ ἐμοὶ ἐγένετο ὡς ἱστός, ἐρίθου ἐγγιζούσης ἐκτεμεῖν.
Ὠδαί 7:13	ἐν τῆ ἡμέρα ἐκείνῃ παρεδόθην ἕως πρωὶ ὡς λέοντι· οὕτως συνέτριψεν πάντα τὰ ὀστᾶ μου· ἀπὸ γὰρ τῆς ἡμέρας ἕως τῆς νυκτὸς παρεδόθην.
Ὠδαί 7:14	ὡς χελιδών, οὕτω φωνήσω, καὶ ὡς περιστερά, οὕτω μελετήσω. ἐξέλειπον γὰρ οἱ ὀφθαλμοί μου τοῦ βλέπειν εἰς τὸ ὕψος τοῦ οὐρανοῦ πρὸς τὸν κύριον, ὅς ἐξείλατό με καὶ ἀφείλατό μου τὴν ὀδύνην τῆς ψυχῆς.
Ὠδαί 7:16	κύριε, καὶ περὶ αὐτῆς γὰρ ἀνηγγέλη σοι· καὶ ἐξήγειράς μου τὴν πνοήν, καὶ παρακληθεὶς ἔζησα.
Ὠδαί 7:17	εἴλου γάρ μου τὴν ψυχὴν ἵνα μὴ ἀπόληται, καὶ ἀπέρριψας ὀπίσω μου πάσας τὰς ἁμαρτίας μου.
Ὠδαί 7:18	οὐ γὰρ οἱ ἐν ἅδου αἰνέσουσίν σε, οὐδὲ οἱ ἀποθανόντες εὐλογήσουσίν σε, οὐδὲ ἐλπιοῦσιν οἱ ἐν ἅδου τὴν ἐλεημοσύνην σου.
Ὠδαί 7:19	οἱ ζῶντες εὐλογήσουσίν σε ὃν τρόπον κἀγώ ἀπὸ γὰρ τῆς σήμερον παιδία ποιήσω, ἅ ἀναγγελεῖ τὴν δικαιοσύνην σου, Κύριε τῆς σωτηρίας μου·
Ὠδαί 7:20	καὶ οὐ παύσομαι εὐλογῶν σε μετὰ ψαλτηρίου πίσας τὰς ἡμέρας τῆς ζωῆς μου κατέναντι τοῦ οἴκου τοῦ θέο. ¶ Η΄ Προσευχὴ Μαννασσή.
Ὠδαί 8:1	Κύριε παντοκράτωρ ἐπουράνιε, ὁ θεὸς τῶν πατέρων ἡμῶν, τοῦ Ἀβραὰμ καὶ Ἰσαὰκ καὶ Ἰακώβ καὶ τοῦ σπέρματος αὐτῶν τοῦ δικαίου· T 12 συγγενιας Τ 14 ουτως Βis Τ μου οι οφθ. Τ βλεπειν] + με Τ 16 om και 1ο T 17 απεριψας Τ 18 αποθανουνταις (Sic) A* νονταις A (ras υ) 19 αναγγελουσιν T 20 του θεου] κυ του θῦ μου Γ VIII θ΄ T) Μανασση T+ υιου Εζεκιου T 1 om επουρανιε Τ om ο Τ
Ὠδαί 8:2	ὁ ποιήσας τὸν οὐρανὸν καὶ τὴν γῆν σὺν παντὶ τῷ κόσμῳ A αὐτῶν,
Ὠδαί 8:3	ὁ πεδήσας τὴν θάλασσαν τῷ λόγῳ τοῦ προστάγματός σου. ὁ κλείσας τὴν ἄβυσσον καὶ σφραγισάμενος τῷ φοβερῷ καὶ ἐνδόξῳ ὀνόματί σου,
Ὠδαί 8:4	ὃν πάντα φρίττει καὶ τρέμει ἀπὸ προσώπου δυνάμεως σου·
Ὠδαί 8:5	ὅτι ἄστεκτος ἡ μεγαλοπρεπία τῆς δόξης σου, καὶ ἀνυπόστατος ἡ ὀργὴ τῆς ἐπὶ ἁμαρτωλοὺς ἀπειλῆς σου·
Ὠδαί 8:6	ἀμέτρητόν τε καὶ ἀνεξιχνίαστον τὸ ἔλεος τῆς ἐπαγγελίας
Ὠδαί 8:7	ὅτι σὺ εἶ Κύριος ὕψιστος, εὔσπλαγχνος, μακρόθυμος, καὶ πολυέλεος, καὶ μετανοῶν ἐπὶ κακίαις ἀνθρώπων.
Ὠδαί 8:8	σύ οὗν, Κύριε ὁ θεὸς τῶν δικαίων. οὐκ ἔθου μετάνοιαν δικαίοις, τῷ Ἀβραὰμ καὶ Ἰσαὰκ καὶ Ἰακώβ, τοῖς οὐχ ἡμαρτηκόσιν σοι, ἀλλ᾿ ἔθου μετάνοιαν ἐμοὶ τῷ ἁμαρτωλῷ.
Ὠδαί 8:9	διότι ἥμαρτον ὑπέρ ἀριθμὸν ψάμμου θαλάσσης· ὅτι ἐπλήθυναν αἱ ἀνομίαι μου. καὶ οὐκ εἰμὶ ἄξιος ἀτενίσαι καὶ ἰδεῖν τὸ ὕψος τοὶ οὐρανοί ἀπὸ πλήθους τῶν ἀδικιῶν μου·
Ὠδαί 8:10	κατικαμπτόμενος πολλῷ δεσμῷ σιδήρου, εἰς τὸ ἀνανεῦσαί με ὑτπὲρ ἁμαρτιίῶν μου, καὶ οὐκ ἔστιν μτοι ἄνεσις· διότι παρώργισα τὸν θυμόν σου, καὶ τὸ πονηρὸν ἐνώπιόν σου ἐποίησα, στήσας βδελύγματα καὶ πληθύνας προσοχθίσματα.
Ὠδαί 8:11	καὶ νῦν κλίνω γόνυ καρδίας, δεόμενος τῆς παρὰ σοῦ χρηστότητος·
Ὠδαί 8:12	ἡμάρτηκα, Κύριε. ἡμάρτηκα, καὶ τὰς ἀνομίας μου ἐγὼ γινώσκω·
Ὠδαί 8:13	αἰτοῦμαι δεόμενός σου, ἄνες μοι, Κύριε, ἄνες μοι, 3 ο κλεισας] και κλ Τ σφραγισ ] + αυτην T 4 φρισσει Τ 6 ελεον A T 7 οτι συ] συ γαρ Τ om και 2⁰ T 8 των δικ.] pr ο Τ εμοι] pr επ T 9 m οτι T μου 1⁰] + κε επληθυναν T 10 σιδηρω Τ ανανευσαι] pr μη om με Τ υπερ αμαρτιων] την κεφαλην Τ ανεσις μοι Τ στησας... προσοχθ.] μη ποηήσας το θελημα σου και μυη φυλαξας τα προσταγματα σου Τ 11 καρδιας] + μου T 13 αιτουμαι] pr αλλ Τ A μὴ συναπολέσῃς με ταῖς ἀνομίαις μου, μηδέ εἰς τὸν αἰῶνα μηνίσας τηρήσῃς τὰ κακά μοι, μηδέ καταδικάσῃς με ἐν τοῖς κατωτάτοις τῆς γῆς· ὅτι σὺ εἶ, Κύριε, ὁ θεὸς τῶν μετανοούντων,
Ὠδαί 8:14	καὶ ἐν ἐμοὶ δείξῃς τὴν ἀγαθωσύνην σου· ὅτι ἀνάξιον ὄντα σώσεις με κατὰ τὸ πολὺ ἔλεός σου,
Ὠδαί 8:15	καὶ αἰνέσω σε διὰ παντὸς ἐν ταῖς ἡμέραις τῆς ζωῆς μου. ὅτι σὲ ὑμνεῖ πᾶσα ἡ δύναμις τῶν οὐρανῶν, καὶ σοῦ ἐστιν ἡ δόξα εἰς τοὺς αἰῶνας. ἀμήν. Θ΄ Προσευχὴ Ἀζαρίου
Ὠδαί 9:26	Εὐλογητὸς εἰ, Κύριε ὁ θεὸς τῶν πατέρων ἡμῶν, Dan. iii. καὶ αἰνετὸν καὶ δεδοξασμένον τὸ ὄνομά σου εἰς τοὺς αἰῶνας. 26—45
Ὠδαί 9:27	ὅτι δίκαιος εἶ ἐπὶ πᾶσιν οἷς ἐποίησας ἡμῖν, καὶ πάντα τὰ ἔργα σου ἀληθινά, καὶ εὺθεῖαι αἱ ὁδοί σου, καὶ πᾶσαι αἱ κρίσεις σου ἀληθεῖς·
Ὠδαί 9:28	καὶ κρίματα ἀληθείας ἐποίησας κατὰ πάντα ὅσα ἐποίησας ἡμίν, καὶ ἐπὶ τὴν πόλιν τὴν ἁγίαν τῶν πατέρων ἡμῶν Ἰερουσαλήμ· ὅτι ἐν ἀληθείᾳ καὶ κρίσει ἐπήγαγες ταῦτα πάντα διὰ τὰς ἁμαρτίας ἡμῶν.
Ὠδαί 9:29	ὅτι ἡμάρτομεν καὶ ἠνομήσαμεν ἀποστάντες ἀπὸ σοῖ, καὶ ἐξημάρτομεν ἐν πᾶσιν
Ὠδαί 9:30	καὶ τῶν ἐντολῶν σου οὐκ ἠκούσαμεν, οὐδὲ συνετηρήσαμεν οὐδὲ ἐποιήσαμεν καθὼς ἐνετείλω ἡμῖν ἵνα εὖ ἡμῖν γένηται.
Ὠδαί 9:31	καὶ πάντα ὅσα ἐπήγαγες ἡμῖν, καὶ πάντα ὅσα ἐποίησας ἡμῖν, ἐν ἀληθινῇ κρίσει ἐποίησας·
Ὠδαί 9:32	καὶ παρέδωκας ἡμᾶς εἰς χεῖρας ἐχθρῶν ἀνόμων ἐχθίστων ἀποστατῶν, καὶ βασιλεῖ ἀδίκῳ καὶ πονηροτάτῳ παρὰ πᾶσαν τὴν γῆν.
Ὠδαί 9:33	καὶ νῦν οὐκ ἔστιν ἡμῖν ἀνοῖξαι τὸ στόμα· Τ 13 μη] pr και Τ τηρησις A Κυριε ο] θεος Τ 14 την αγαθ.] pr πασον T IX (ι T) προσευχη Αζαριου] υμνος των τριων παιδων Τ 27 κρισις A 28 οσα εποιησας] α επηγαγες Τ των πατερων] pr την 29 αποστιντες] αποστηναι T 31 επηγαγες] εποιησας Τ εποιησας 1⁰] επηγαγες T αἰσχύνη καὶ ὄνειδος ἐγενήθη τοῖς δούλοις σου καὶ τοῖς σεβομένοις A σε.
Ὠδαί 9:34	μὴ παραδῷς ἡμᾶς εἰς τέλος διὰ τὸ ὄνομά σου, καὶ μὴ διασκεδάσῃς τὴν διαθήκην σου,
Ὠδαί 9:35	καὶ μὴ ἀποστήσῃς τὸ ἔλεός σου ἀφʼ ἡμῶν. δι᾿ Ἀβραὰμ τὸν ἠγαπημένον ὑπὸ σοῦ. καὶ διὰ Ἰσαὰκ τὸν δοῦλόν σου καὶ Ἰσραὴλ τὸν ἅγιόν σου,
Ὠδαί 9:36	οἷς ἐλάλησας πρὸς αὐτοὺς λέγων πληθῦναι τὸ σπέρμα αὐτῶν ὡς τὰ ἄστρα τοῦ οὐρανοῦ, καὶ ὡς τὴν ἄμμον τὴν παρὰ τὸ χεῖλος τῆς θαλάσσης.¶ ¶T
Ὠδαί 9:37	ὅτι, δέσποτα, ἐσμικρύνθημεν παρὰ πάντα τὰ ἔθνη, καί ἐσμεν ταπεινοὶ ἐν πάσῃ τῇ γῇ σήμερον διὰ τὰς ἁμαρ- τίας ἡμῶν·
Ὠδαί 9:38	καὶ οὐκ ἕστιν ἐν τῷ καιρῷ τούτῳ ἄρχων καὶ προφήτης καὶ ἡγούμενος, οὐδὲ ὁλοκαύτωσις οὐδὲ θυσία, οὐδέ προσφορὰ οὐδὲ θυμίαμα, οὐ τόπος τοῦ καρπῶσαι ἐνώπιόν σου καὶ εὑρεῖν ἔλεος.
Ὠδαί 9:39	ἀλλʼ ἐν ψυχῇ συντετριμμένῃ καὶ πνεύματι ταπεινώσεως προσ- δεχθείημεν.
Ὠδαί 9:40	ὡς ἐν ὁλοκαυτώμασιν κριῶν καὶ ταύρων, καὶ ὡς ἐν μυριάσιν ἀρνῶν πιόνων, οὔτως γενέσθω ἡ θυσία ἡμῶν ἐνώπιόν σου σήμερον. καὶ ἐκτελέσαι ὄπισθέν σου· ὅτι οὐκ ἔστιν αἰσχύνη τοῖς πεποιθόσιν ἐπὶ σοί.
Ὠδαί 9:41	καὶ νῦν ἐξακολουθοῦμεν ἐν ὅλῃ καρδίᾳ καὶ φοβούμεθά σε, καὶ ζητοῦμεν τὸ πρόσωπόν σου·
Ὠδαί 9:42	μὴ καταισχύνῃς ἡμᾶς. ἀλλὰ ποίησον μεθʼ ἡμῶν κατὰ τὴν ἐπιεικίαν σου, καὶ κατὰ τὸ πλῆθος τοῦ ἐλέου σου·
Ὠδαί 9:43	§ καὶ ἐξελοῦ ἡμᾶς κατὰ τὰ θαυμάσιά σου, §T καὶ δὸς δόξαν τῷ ὀνόματί σου, Κύριε.
Ὠδαί 9:44	καὶ ἐντραπείησαν πάντες οἱ ἐνδεικνύμενοι τοῖς δούλοις σου κακά· καταισχυνθείησαν ἀπὸ πάσης δυνάμεως καὶ δυναστείας, 34 μη 1⁰] -δη T 35 δι| δια T 37 42 desunt in T deperlito folio T 44 καταισχυνθ.] pr και T om δυναμεως και T δυναστιας T A καὶ ἡ ἰσχὺς αὐτῶν συντριβείη·
Ὠδαί 9:45	καὶ γνώτωσαν ὅτι σὺ εἶ Κύριος ὁ θεὸς μόνος, καὶ ἔνδοξος ἐφʼ ὅλην τὴν οἰκουμένην. Ι΄ §R
Ὠδαί 10:51	Ὕμνος τῶν πατέρων ὴμῶν.
Ὠδαί 10:52	Εὺλογητὸς εἶ, Κύριε ὁ θεὸς τῶν πατέρων ἡμῶν, 52 Dan. καὶ αἰνετὸς καὶ ὑπερυψούμενος εἰς τοὺς αἰῶνας· iii. καὶ εὐλογητὸν τὸ ὄνομα τῆς δόξης σου τὸ ἅγιόν σου, 52—88 καὶ ὑπεραινετὸν καὶ ὑπερυψούμενον εἰς τοὺς αἰῶνας.
Ὠδαί 10:53	εὐλογημένος εἶ ἐν τῷ ναῷ τῆς ἁγίας δόξης σου, καὶ ὑπερυμνητὸς καὶ ὑπερένδοξος εἰς τοὺς αἰῶνας.
Ὠδαί 10:54	εὐλογημένος εἶ ὁ βλέπων ἀβύσσους, καθήμενος ἐπὶ τῶν χερουβείν, καὶ ὑπερυμνητὸς καὶ ὑπερυψούμενος εἰς τοὺς αἰῶνας.
Ὠδαί 10:55	εὺλογημένος εἶ ἐπὶ θρόνου τῆς βασιλείας σου, καὶ ὑπερυμνητὸς καὶ ὑπερυψούμενος εἰς τοὺς αἰῶνας.
Ὠδαί 10:56	εὺλογημένος εἶ ἐν τῷ στερεώματι τοῦ οὐρανοῦ, καὶ ὑπερυμνητὸς καὶ ὑπερένδοξος εἰς τοὺς αἰῶνας.
Ὠδαί 10:57	εὺλογεῖτε, πάντα τὰ ἔργα Κυρίου, τὸν κύριον· ὑμνεῖτε καὶ ὑπερυψοῦτε αὐτὸν εἰς τοὺς αἰῶνας.
Ὠδαί 10:58	εὐλογεῖτε, οὐρανοί, τὸν κύριον· ὑμνεῖτε καὶ ὑπερυψοῦτε αὐτὸν εἰς τοὺς αἰῶνας.
Ὠδαί 10:59	εὐλογεῖτε, ἄγγελοι Κυρίου, τὸν κύριον· ὑμνεῖτε καὶ ὑπερυψοῦτε αὐτὸν εἰς τοὺς αἰῶνας.
Ὠδαί 10:60	εὐλογεῖτε, ὕδατα πάντα τὰ ἐπάνω τοῦ οὐρανοῦ, τὸν κύριον· ὑμνεῖτε καὶ ὑπερυψοῦτε αὐτὸν εἰς τοὺς αἰῶνας. RT 45 om και 1⁰ T X ([ηʼ] R ια' T) υ των πατερων ημων] υ.των τριων παιδων T doest tit in R gr sed pr D an iii 51 ( Th) τοτε οι τρεις ως εξ ενος στοματος υμνουν και εδοξαζον και ευλογουν (? ηυλ.) τον θεον εν τη καμινω λεγοντες R 52 ευλογητον] ευλογημενον RT om σου 2⁰ RT om και υπεραινετον R 53 om ει R υπερυμνητος] υπεραινετος R υμνη- . τος T υπερενδοξος] ενδοξαζομενος 54 om ει R βλεπων] επιβλεπων R των χερουβειν] χερουβιν RT υπερυμνητος] υπεραινετος R T 55 ante 54 pos Τ 55 om ει R om σου R υπερυμνητος] αινετος R 56 om ει R υπερυμνητος] υπεραινετος R αινετος Τ υπερενδοξος] υπερυψουμενος Rl δεδοξασμενος T 57 pr ιβʼ c tit υμνος των τριων παιδων a ΙX 1 repe- tito T υμνειτε...αιωνας] υμνιτε tantummodo hic et alicubi T 58 om R ; 58, 59 suum ordinem servant in T 60 επανω] υπερανω R των ουρανων RT
Ὠδαί 10:61	εὐλογεῖτε, πᾶσαι αἱ δυνάμεις Κυρίου, τὸν κύριον· A ὑμνεῖτε καὶ ὑπερυψοῦτε αὐτὸν εἰς τοὺς αἰῶνας.
Ὠδαί 10:62	εὺλογεῖτε, ἥλιος καὶ σελήνη, τὸν κύριον· ὑμνεῖτε καὶ ὑπερυψοῦτε αὐτὸν εἰς τοὺς αἰῶνας.
Ὠδαί 10:63	εὐλογεῖτε, ἄστρα τοῦ οὐρανοῦ, τὸν κύριον· ὑμνεῖτε καὶ ὑπερυψοῦτε αὐτὸν εἰς τοὺς αἰῶνας.
Ὠδαί 10:64	εὐλογεῖτε, πᾶς ὄμβρος καὶ δρόσος, τὸν κύριον· ὑμνεῖτε καὶ ὑπερυψοῦτε αὐτὸν εἰς τοὺς αἰῶνας.
Ὠδαί 10:65	εὐλογεῖτε, πάντα τὰ πνεύματα, τὸν κύριον· ὑμνεῖτε καὶ ὑπερυψοῦτε αὐτὸν εἰς τοὺς αἰῶνας.
Ὠδαί 10:66	εὐλογεῖτε, πῦρ καὶ καῦμα, τὸν κύριον· ὑμνεῖτε καὶ ὑπερυψοῦτε αὐτὸν εἰς τοὺς αἰῶνας.
Ὠδαί 10:67	εὐλογεῖτε, ψῦχος καὶ καύσων, τὸν κύριον· ὑμνεῖτε καὶ ὑπερυψοῦτε αὐτὸν εἰς τοὺς αἰῶνας.
Ὠδαί 10:68	εὐλογεῖτε, δρόσοι καὶ νιφετοί, τὸν κύριον· ὑμνεῖτε καὶ ὑτπερυψοῦτε αὐτὸν εἰς τοὺς αἰῶνας.
Ὠδαί 10:71	εὐλογεῖτε, νύκτες καὶ ἡμέραι, τὸν κύριον· ὑμνεῖτε καὶ ὑπερυψοῦτε αὐτὸν εἰς τοὺς αἰῶνας.
Ὠδαί 10:72	εὐλογεῖτε, φῶς καὶ σκότος, τὸν κύριον· ὑμνεῖτε καὶ ὑπερυψοῦτε αὐτὸν εἰς τοὺς αἰῶνας.
Ὠδαί 10:69	εὐλογεῖτε, πάγος καὶ ψῦχος, τὸν κύριον· ὑμνεῖτε καὶ ὑπερυψοῦτε αὐτὸν εἰς τοὺς αἰῶνας.
Ὠδαί 10:70	εὐλογεῖτε, πάχναι καὶ χιόνες, τὸν κύριον· ὑμνεῖτε καὶ ὑπερυψοῦτε αὐτὸν εἰς τοὺς αἰῶνας.
Ὠδαί 10:73	εὐλογεῖτε, ἀστραπαὶ καὶ νεφέλαι, τὸν κύριον· ὑμνεῖτε καὶ ὑπερυψοῦτε αὐτὸν εἰς τοὺς αἰῶνας.
